No,Academy Ruangguru,Name,Address,,Unique Name,First Name,End Name,Tutor,Latitude,Longitude,Geocoding Status
35,Brain Academy,Bukittinggi - Jambu Air,"Jl. Jambu Air No. 82-83, Taluak Ampek Suku, Kec. Banuhampu, Kabupaten Agam, Sumatera Barat 26181",,BAC Jambu Air,Bukittinggi,Jambu Air,,-0.3257882,100.3845994,SUCCESS
36,Brain Academy,Bekasi - Jatiasih,Jl. Raya Jatiasih RT 009 RW 03. Kavling No 4-5. Jatirasa. Jatiasih. Kota Bekasi 17423,,BAC Jatiasih,Bekasi,Jatiasih,,-6.2847901,106.968719,SUCCESS
37,Brain Academy,Jakarta Barat - Kemanggisan,"Jl. Kemanggisan Raya No.42, RT.5/RW.9, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,BAC Kemanggisan,Jakarta Barat,Kemanggisan,"Widi Alya Zhafira
Mega Mariesta",-6.189714599999999,106.7860953,SUCCESS
38,Brain Academy,Jakarta Selatan - Fatmawati,"Jl. Fatmawati Raya No.24, Cilandak, 12430",,BAC Fatmawati,Jakarta Selatan,Fatmawati,"Ekawati Sudjono
Stephanie Malta",-6.284027699999999,106.7964762,SUCCESS
39,Brain Academy,Jakarta Timur - Rawamangun,Jl Paus No 10E & 10F. Rawamangun. Pulo Gadung. Jakarta Timur. DKI Jakarta 13220,,BAC Rawamangun,Jakarta Timur,Rawamangun,Muhammad Asadullah Al Ghozi,-6.1946602,106.8911245,SUCCESS
40,Brain Academy,Jakarta Timur - Duren Sawit,"Jl. Raden Inten Il No.66, RW.7, Duren Sawit, Kec. Duren Sawit. Kota Jakarta Timur. Daerah Khusus Ibukota Jakarta 13440",,BAC Duren Sawit,Jakarta Timur,Duren Sawit,"Stephanie Malta
Mayranda Amin
Muhammad Asadullah Al Ghozi",-6.2445292,106.9199265,SUCCESS
41,Brain Academy,Tangerang Selatan - Golden Madrid,"Komplek ruko Golden Madrid 1 No. A-06, Rawa Buntu, Serpong, Tangerang Selatan, Banten 15411",,BAC Golden Madrid,Tangerang Selatan,Golden Madrid,"Fikri Dwi Firmansah 
Dian Marhamah",-6.3037908,106.6856888,SUCCESS
42,Brain Academy,Bekasi - Summarecon,"Jl. Bulevar Selatan Blok UA No. 29, RT.004/RW.011, Marga Mulya, Kec. Bekasi Utara, Kota Bks, Jawa Barat 17143",,BAC Summarecon,Bekasi,Summarecon,Rendy Kurniawan,-6.2272018,107.0047557,SUCCESS
43,Brain Academy,Bogor - Sawojajar,"Jl. Sawojajar No.21, Pabaton, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16121",,BAC Sawojajar,Bogor,Sawojajar,"Riri Wiyanti Retnaningtyas
Yulinar Amalia Masfufah
Aditya Rizky Wibisono Sapran
Bagas Nadiansah",-6.5883201,106.7945703,SUCCESS
44,Brain Academy,Depok - Pancoran Mas,"Jl Nusantara Raya 155. Depok Jaya. Pancoran Mas, Kota Depok 16432",,BAC Pancoran Mas,Depok,Pancoran Mas,,-6.3961127,106.8142526,SUCCESS
45,Brain Academy,Cibinong - Karadenan,Jl Karadenan No 38. Sukahati. Cibinong. Bogor. Jawa Barat 16913,,BAC Karadenan,Cibinong,Karadenan,,-6.5129962,106.8074369,SUCCESS
46,Brain Academy,Serang - Kebon Jahe,"Ruko Cristal Kebon Jahe, Jln. Raya Serang Pandeglang KM 1 Link Kebon Jahe RT 004 RW 014 Kelurahan Cipare, Kebon Jahe, Kec. Serang, Kota Serang, Banten 42117",,BAC Kebon Jahe,Serang,Kebon Jahe,,-6.1261234,106.1585311,SUCCESS
47,Brain Academy,Bandung - Buahbatu,"Jl. Buah Batu no 50, Burangrang, Kec Lengkong Kota Bandung. Jawa Barat 40262",,BAC Buahbatu,Bandung,Buah Batu,"Glory Euodia
Alya Birzana Devi
Mochamad Edwin Iskandar
Sylva Adisty
Ervien Noviyanti
Ihsan Nur Iman Faris
Siti Aisyah",-6.932407299999999,107.6181089,SUCCESS
48,Brain Academy,Bandung - Pajajaran,"Jl. Abdul Rahman Saleh No. 50, Kec. Cicendo, Bandung, 40174",,BAC Pajajaran,Bandung,Padjajaran Bandung,"Admiral Indra Supardan
Alya Birzana Devi
Ihsan Nur Iman Faris",-6.907467599999999,107.5825306,SUCCESS
49,Brain Academy,Yogyakarta - Wirobrajan,Jl. HOS Cokroaminoto No. 77. Pakuncen. Wirobraian. D.I. Yogyakarta 55253,,BAC Wirobrajan,Yogyakarta,Wirobrajan,"Muhammad Reza
Abdurrahman Muhammad Fikri Rasdi ",-7.796554899999999,110.3525873,SUCCESS
50,Brain Academy,Semarang - Pandanaran,"Jl. Pandanaran No.99A, Mugassari. Kec. Semarang Sel.. Kota Semarang. Jawa Tengah 50249",,BAC Pandanaran,Semarang,Pandanaran,,-6.987409899999999,110.416276,SUCCESS
51,Brain Academy,Solo - Gajahmada,"Jl. Gajahmada No.123B, Punggawan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57132",,BAC Gajahmada,Solo,Solo Gajahmada,"Satrio Titan Samudera Koraag
Hendy Darian",-7.560285899999999,110.8193041,SUCCESS
52,Brain Academy,Surabaya - Kusuma Bangsa,Jl. Kusuma Bangsa No.74. Ketabang. Kec. Genteng. Kota SBY. Jawa Timur 60272,,BAC Kusuma Bangsa,Surabaya,Kusuma Bangsa,"Brillin Yapply
Agus Setiawan
Nabilla Ratna
Nabila Ratna
Grace Melody",-7.256808100000001,112.7508372,SUCCESS
53,Brain Academy,Surabaya - Jemursari,"Jl. Raya Jemursari No.15, Wonocolo, Jawa Timur, 60239",,BAC Jemursari,Surabaya,Jemursari,,-7.320388199999999,112.7460702,SUCCESS
54,Brain Academy,Malang - Klojen,"Jl. Bandung No.14. Penanggungan, Kec. Klojen. Kota Malang, Jawa Timur 65111",,BAC Klojen,Malang,Klojen,"Wardah Nabilah
Riri Wiyanti Retnaningtyas
Bagas Nadiansah
Yulinar Amalia Masfufah
Brian Shaquella",-7.9615556,112.6242493,SUCCESS
55,Brain Academy,Denpasar - Melati,"Jl. Melati No.67, Dangin Puri. Kec. Denpasar Tim.. Kota Denpasar, Bali 80233",,BAC Melati,Denpasar,Melati,,-8.653981,115.222374,SUCCESS
56,Brain Academy,Makassar - Cendrawasih,"Jl Cendrawasih No. 12, Kel. Kunjungmae, Kec. Mariso, Kota Makassar Kode Pos 90125",,BAC Cendrawasih,Makassar,Cendrawasih,,-5.1879785,119.4702425,SUCCESS
57,Brain Academy,Makassar - Perintis,"Jl Perintis KM. 9 No. 57 A, Kel. Tamalanrea Jaya, Kec. Tamalanrea, Kota Makassar",,BAC Perintis,Makassar,Perintis,,-5.1412793,119.4879385,SUCCESS
58,Brain Academy,Medan - S. Parman,"Komplek Crown Center, Jl. S. Parman No.18-20, Petisah Hulu, Medan Petisah, Medan City, North Sumatra 20152",,BAC S. Parman,Medan,S. Parman ,,3.5816022,98.6676758,SUCCESS
59,Brain Academy,Palembang - Bukit Lama,"Jalan Srijaya Negara No. 27 D-E RT.35 RW.11 Bukit Lama, Kelurahan demang Lebar, Kecamatan Ilir Barat I Kota Palembang, Sumatera Selatan 30139",,BAC Bukit Lama,Palembang,Bukit Lama,,-2.9880679,104.7328312,SUCCESS
60,Brain Academy,Palembang - Basuki Rahmat,"Jl. Jend. Basuki Rachmat No.56 A-B, Ario Kemuning, Kec. Kemuning, Kota Palembang, Sumatera Selatan 30151",,BAC Basuki Rahmat,Palembang,Basuki Rahmat,,-2.9537582,104.7467036,SUCCESS
